date,county,state,pop,cases,deaths,casesPerCapita,deathsPerCapita
44034,Stephens County,Georgia,9630,442,6,0.045898235,0.000623053
44034,Stewart County,Georgia,1143,235,4,0.2055993,0.003499563
44034,Sumter County,Georgia,1490,680,55,0.456375839,0.036912752
44034,Talbot County,Georgia,7854,108,3,0.013750955,0.000381971
44034,Taliaferro County,Georgia,7854,5,0,0.000636618,0
44034,Tattnall County,Georgia,1809034,282,0,0.000155884,0
44034,Taylor County,Georgia,131506,54,2,0.000410628,0.0000152
44034,Telfair County,Georgia,131506,226,5,0.001718553,0.000038
44034,Terrell County,Georgia,984,268,29,0.272357724,0.029471545
44034,Thomas County,Georgia,12651,755,36,0.059679077,0.002845625
44034,Tift County,Georgia,1641,1089,32,0.663619744,0.019500305
44034,Toombs County,Georgia,110224,444,6,0.004028161,0.0000544
44034,Towns County,Georgia,110224,85,1,0.000771157,0.00000907
44034,Treutlen County,Georgia,16895,62,2,0.003669725,0.000118378
44034,Troup County,Georgia,16895,1957,49,0.115833087,0.002900266
44034,Turner County,Georgia,7141,204,18,0.028567428,0.002520655
44034,Twiggs County,Georgia,7141,61,1,0.008542221,0.000140036
44034,Union County,Georgia,9208,147,4,0.015964379,0.000434405
44034,Unknown County,Georgia,9208,1917,8,0.208188532,0.00086881
44034,Upson County,Georgia,24254,434,45,0.017893956,0.001855364
44034,Walker County,Georgia,24254,419,14,0.017275501,0.000577224
44034,Walton County,Georgia,24254,675,32,0.027830461,0.00131937
44034,Ware County,Georgia,24254,914,17,0.037684506,0.000700915
44034,Warren County,Georgia,24254,44,0,0.001814134,0
44034,Washington County,Georgia,24254,254,1,0.010472499,0.0000412
44034,Wayne County,Georgia,42481,443,1,0.010428191,0.0000235
44034,Webster County,Georgia,9154,35,2,0.003823465,0.000218484
44034,Wheeler County,Georgia,24496,76,0,0.003102547,0
44034,White County,Georgia,24496,236,5,0.009634226,0.000204115
44034,Whitfield County,Georgia,24496,2410,23,0.09838341,0.000938929
44034,Wilcox County,Georgia,24496,148,17,0.006041803,0.000693991
44034,Wilkes County,Georgia,24496,150,3,0.006123449,0.000122469
44034,Wilkinson County,Georgia,24496,145,10,0.005919334,0.00040823
44034,Worth County,Georgia,7208,383,23,0.053135405,0.003190899
44034,Unknown County,Guam,9208,1299,6,0.14107298,0.000651607
44034,Hawaii County,Hawaii,25213,114,0,0.004521477,0
44034,Honolulu County,Hawaii,203922,1117,18,0.005477585,0.0000883
44034,Kauai County,Hawaii,28669,43,0,0.001499878,0
44034,Maui County,Hawaii,8742,139,6,0.015900252,0.000686342
44034,Ada County,Idaho,#N/A,6423,41,#N/A,#N/A
44034,Adams County,Idaho,#N/A,15,0,#N/A,#N/A
44034,Bannock County,Idaho,18395,262,1,0.014243001,0.0000544
44034,Bear Lake County,Idaho,100157,7,0,0.0000699,0
44034,Benewah County,Idaho,17634,37,0,0.002098219,0
44034,Bingham County,Idaho,155547,145,2,0.000932194,0.0000129
44034,Blaine County,Idaho,155547,562,6,0.003613056,0.0000386
44034,Boise County,Idaho,13063,25,0,0.001913802,0
44034,Bonner County,Idaho,13063,103,0,0.007884866,0
44034,Bonneville County,Idaho,13063,394,1,0.030161525,0.0000766
44034,Boundary County,Idaho,13063,20,0,0.001531042,0
44034,Camas County,Idaho,6694,1,0,0.000149388,0
44034,Canyon County,Idaho,10998,3598,22,0.327150391,0.002000364
44034,Caribou County,Idaho,10998,23,0,0.002091289,0
44034,Cassia County,Idaho,110527,383,1,0.003465217,0.00000905
44034,Clearwater County,Idaho,259424,8,0,0.0000308,0
44034,Custer County,Idaho,23439,7,0,0.000298648,0
44034,Elmore County,Idaho,20166,131,2,0.006496083,0.0000992
44034,Franklin County,Idaho,22084,39,0,0.001765984,0
44034,Fremont County,Idaho,22084,31,0,0.001403731,0
44034,Gem County,Idaho,920581,107,0,0.000116231,0
44034,Gooding County,Idaho,79626,100,0,0.001255871,0
44034,Idaho County,Idaho,139900,23,0,0.000164403,0
44034,Jefferson County,Idaho,16930,64,1,0.003780272,0.0000591
44034,Jerome County,Idaho,8340,361,6,0.043285372,0.000719424
44034,Kootenai County,Idaho,28669,1161,1,0.040496704,0.0000349
44034,Latah County,Idaho,10078,58,0,0.00575511,0
44034,Lemhi County,Idaho,28298,7,0,0.000247367,0
44034,Lincoln County,Idaho,7996,44,0,0.005502751,0
44034,Madison County,Idaho,28120,108,0,0.003840683,0
44034,Minidoka County,Idaho,6125,328,1,0.05355102,0.000163265
44034,Nez Perce County,Idaho,99958,120,19,0.001200504,0.00019008
44034,Oneida County,Idaho,14899,8,0,0.000536949,0
44034,Owyhee County,Idaho,11526,166,0,0.014402221,0
44034,Payette County,Idaho,53497,259,2,0.004841393,0.0000374
44034,Power County,Idaho,4470,27,0,0.006040268,0
44034,Shoshone County,Idaho,3034,32,0,0.010547132,0
44034,Teton County,Idaho,12651,49,0,0.003873212,0
44034,Twin Falls County,Idaho,7141,960,27,0.134434953,0.003780983
44034,Valley County,Idaho,24254,40,1,0.001649213,0.0000412
44034,Washington County,Idaho,24254,159,2,0.00655562,0.0000825
44034,Adams County,Illinois,#N/A,286,1,#N/A,#N/A
44034,Alexander County,Illinois,#N/A,32,0,#N/A,#N/A
44034,Bond County,Illinois,13063,29,1,0.002220011,0.0000766
44034,Boone County,Illinois,13063,663,21,0.050754038,0.001607594
44034,Brown County,Illinois,16243,11,0,0.000677215,0
44034,Bureau County,Illinois,70217,62,2,0.000882977,0.0000285
44034,Calhoun County,Illinois,6694,3,0,0.000448163,0
44034,Carroll County,Illinois,110527,24,2,0.000217142,0.0000181
44034,Cass County,Illinois,110527,160,11,0.00144761,0.0000995
44034,Champaign County,Illinois,63942,1293,17,0.020221451,0.000265866
44034,Christian County,Illinois,214346,60,5,0.000279921,0.0000233
44034,Clark County,Illinois,214346,50,0,0.000233268,0
44034,Clay County,Illinois,3183,9,0,0.002827521,0
44034,Clinton County,Illinois,6798,278,17,0.040894381,0.002500736
44034,Coles County,Illinois,42356,261,17,0.006162055,0.00040136
44034,Cook County,Illinois,17212,100124,4801,5.817104346,0.278933302
44034,Crawford County,Illinois,12630,26,0,0.002058591,0
44034,Cumberland County,Illinois,23439,36,1,0.001535902,0.0000427
44034,De Witt County,Illinois,22330,24,0,0.001074787,0
44034,DeKalb County,Illinois,691893,763,24,0.001102772,0.0000347
44034,Douglas County,Illinois,132403,89,0,0.00067219,0
44034,DuPage County,Illinois,132403,10531,500,0.079537473,0.003776349
44034,Edgar County,Illinois,4034,18,0,0.004462072,0
44034,Edwards County,Illinois,4034,6,0,0.001487357,0
44034,Effingham County,Illinois,52250,48,1,0.00091866,0.0000191
44034,Fayette County,Illinois,106567,39,3,0.000365967,0.0000282
44034,Ford County,Illinois,96317,33,1,0.000342619,0.0000104
44034,Franklin County,Illinois,22084,79,0,0.00357725,0
44034,Fulton County,Illinois,920581,20,0,0.0000217,0
44034,Gallatin County,Illinois,920581,23,0,0.000025,0
44034,Greene County,Illinois,15994,13,0,0.000812805,0
44034,Grundy County,Illinois,15994,226,5,0.014130299,0.000312617
44034,Hamilton County,Illinois,179684,11,0,0.0000612,0
44034,Hancock County,Illinois,9429,22,1,0.002333227,0.000106056
44034,Hardin County,Illinois,28780,9,0,0.000312717,0
44034,Henderson County,Illinois,11834,8,0,0.000676018,0
44034,Henry County,Illinois,203922,146,1,0.00071596,0.0000049
44034,Iroquois County,Illinois,139900,201,5,0.001436741,0.0000357
44034,Jackson County,Illinois,60485,434,19,0.007175333,0.000314127
44034,Jasper County,Illinois,13900,49,7,0.00352518,0.000503597
44034,Jefferson County,Illinois,16930,138,17,0.008151211,0.001004135
44034,Jersey County,Illinois,8340,56,1,0.006714628,0.000119904
44034,Jo Daviess County,Illinois,8340,80,1,0.009592326,0.000119904
44034,Johnson County,Illinois,9980,42,0,0.004208417,0
44034,Kane County,Illinois,28669,8548,294,0.298161778,0.010254979
44034,Kankakee County,Illinois,28669,1628,66,0.056786076,0.002302138
44034,Kendall County,Illinois,28669,1210,23,0.042205867,0.00080226
44034,Knox County,Illinois,28669,199,1,0.006941295,0.0000349
44034,LaSalle County,Illinois,10078,362,18,0.035919825,0.001786069
44034,Lake County,Illinois,28669,11079,435,0.386445289,0.015173184
44034,Lawrence County,Illinois,48434,30,0,0.0006194,0
44034,Lee County,Illinois,28298,120,2,0.004240582,0.0000707
44034,Livingston County,Illinois,7996,63,2,0.007878939,0.000250125
44034,Logan County,Illinois,7996,57,0,0.007128564,0
44034,Macon County,Illinois,14740,288,22,0.01953867,0.001492537
44034,Macoupin County,Illinois,14740,100,3,0.006784261,0.000203528
44034,Madison County,Illinois,28120,1604,71,0.057041252,0.002524893
44034,Marion County,Illinois,8742,97,0,0.011095859,0
44034,Marshall County,Illinois,8742,15,0,0.001715854,0
44034,Mason County,Illinois,8742,36,0,0.004118051,0
44034,Massac County,Illinois,8742,24,0,0.002745367,0
44034,McDonough County,Illinois,8742,119,15,0.013612446,0.001715854
44034,McHenry County,Illinois,8742,2608,110,0.298329902,0.012582933
44034,McLean County,Illinois,8742,418,15,0.047815145,0.001715854
44034,Menard County,Illinois,8742,36,0,0.004118051,0
44034,Mercer County,Illinois,8742,39,0,0.004461222,0
44034,Monroe County,Illinois,26424,205,13,0.007758099,0.000491977
44034,Montgomery County,Illinois,9123,112,2,0.012276663,0.000219226
44034,Morgan County,Illinois,17868,146,5,0.008171032,0.00027983
44034,Moultrie County,Illinois,17868,33,0,0.001846877,0
44034,Ogle County,Illinois,32808,357,5,0.010881492,0.000152402
44034,Peoria County,Illinois,186494,884,32,0.004740099,0.000171587
44034,Perry County,Illinois,22350,73,1,0.003266219,0.0000447
44034,Piatt County,Illinois,16729,30,0,0.001793293,0
44034,Pike County,Illinois,16430,9,0,0.000547778,0
44034,Pope County,Illinois,4470,2,0,0.000447427,0
44034,Pulaski County,Illinois,6161,88,0,0.014283396,0
44034,Putnam County,Illinois,6006,3,0,0.0004995,0
44034,Randolph County,Illinois,25414,374,7,0.014716298,0.000275439
44034,Richland County,Illinois,17457,9,0,0.000515553,0
44034,Rock Island County,Illinois,17457,1397,30,0.080025205,0.001718508
44034,Saline County,Illinois,17457,60,0,0.003437017,0
44034,Sangamon County,Illinois,6131,740,34,0.120698092,0.005545588
44034,Schuyler County,Illinois,3461,14,0,0.004045074,0
44034,Scott County,Illinois,3461,4,0,0.001155735,0
44034,Shelby County,Illinois,25448,31,1,0.00121817,0.0000393
44034,St. Clair County,Illinois,8490,3210,152,0.378091873,0.017903416
44034,Stark County,Illinois,8490,7,0,0.000824499,0
44034,Stephenson County,Illinois,9630,292,6,0.030321911,0.000623053
44034,Tazewell County,Illinois,131506,243,8,0.001847824,0.0000608
44034,Union County,Illinois,9208,255,21,0.02769331,0.002280626
44034,Unknown County,Illinois,9208,1175,193,0.127606429,0.020960035
44034,Vermilion County,Illinois,24254,141,2,0.005813474,0.0000825
44034,Wabash County,Illinois,24254,25,0,0.001030758,0
44034,Warren County,Illinois,24254,158,0,0.006514389,0
44034,Washington County,Illinois,24254,35,0,0.001443061,0
44034,Wayne County,Illinois,42481,27,1,0.000635578,0.0000235
44034,White County,Illinois,24496,33,0,0.001347159,0
44034,Whiteside County,Illinois,24496,250,16,0.010205748,0.000653168
44034,Will County,Illinois,24496,7845,336,0.320256368,0.013716525
44034,Williamson County,Illinois,24496,218,4,0.008899412,0.000163292
44034,Winnebago County,Illinois,166994,3394,113,0.020324084,0.000676671
44034,Woodford County,Illinois,7208,68,3,0.009433962,0.000416204
44034,Adams County,Indiana,#N/A,64,2,#N/A,#N/A
44034,Allen County,Indiana,#N/A,3238,158,#N/A,#N/A
44034,Bartholomew County,Indiana,69367,654,48,0.009428114,0.000691972
44034,Benton County,Indiana,17634,54,0,0.003062266,0
44034,Blackford County,Indiana,155547,50,2,0.000321446,0.0000129
44034,Boone County,Indiana,13063,572,48,0.043787798,0.0036745
44034,Brown County,Indiana,16243,58,1,0.003570769,0.0000616
44034,Carroll County,Indiana,110527,120,2,0.001085708,0.0000181
44034,Cass County,Indiana,110527,1680,10,0.015199906,0.0000905
44034,Clark County,Indiana,214346,836,52,0.003900236,0.000242598
44034,Clay County,Indiana,3183,73,5,0.022934339,0.001570845
44034,Clinton County,Indiana,6798,314,4,0.046190056,0.000588408
44034,Crawford County,Indiana,12630,38,1,0.003008709,0.0000792
44034,Daviess County,Indiana,16633,180,19,0.01082186,0.001142307
44034,DeKalb County,Indiana,691893,181,5,0.000261601,0.00000723
44034,Dearborn County,Indiana,22330,357,26,0.015987461,0.001164353
44034,Decatur County,Indiana,27842,286,35,0.010272251,0.001257094
44034,Delaware County,Indiana,691893,520,53,0.000751561,0.0000766
